"player_position","depth","angle","field_x","field_y","batter","launch_speed_av","launch_angle_av","gb_pull","fb_pull","handedness","name","home_first","babip","method"
6,175,77,40,170,518692,91.8,13.6,0.755,0.416,"L","Freeman, Freddie",4.49,0.296,"Current Rules"
7,289,-62,-135,255,518692,91.8,13.6,0.755,0.416,"L","Freeman, Freddie",4.49,0.296,"Current Rules"
8,331,-87,-20,330,518692,91.8,13.6,0.755,0.416,"L","Freeman, Freddie",4.49,0.296,"Current Rules"
9,289,67,115,265,518692,91.8,13.6,0.755,0.416,"L","Freeman, Freddie",4.49,0.296,"Current Rules"
3,128,51,80,100,518792,87.9,10.3,0.79,0.558,"L","Heyward, Jason",4.43,0.278,"Current Rules"
4,162,68,60,150,518792,87.9,10.3,0.79,0.558,"L","Heyward, Jason",4.43,0.278,"Current Rules"
5,136,-73,-40,130,518792,87.9,10.3,0.79,0.558,"L","Heyward, Jason",4.43,0.278,"Current Rules"
6,160,90,0,160,518792,87.9,10.3,0.79,0.558,"L","Heyward, Jason",4.43,0.278,"Current Rules"
7,275,-74,-75,265,518792,87.9,10.3,0.79,0.558,"L","Heyward, Jason",4.43,0.278,"Current Rules"
8,313,83,40,310,518792,87.9,10.3,0.79,0.558,"L","Heyward, Jason",4.43,0.278,"Current Rules"
9,262,59,135,225,518792,87.9,10.3,0.79,0.558,"L","Heyward, Jason",4.43,0.278,"Current Rules"
3,128,51,80,100,518934,90.1,3.3,0.549,0.28,"R","LeMahieu, DJ",4.67,0.286,"Current Rules"
4,165,76,40,160,518934,90.1,3.3,0.549,0.28,"R","LeMahieu, DJ",4.67,0.286,"Current Rules"
5,139,-60,-70,120,518934,90.1,3.3,0.549,0.28,"R","LeMahieu, DJ",4.67,0.286,"Current Rules"
6,163,-79,-30,160,518934,90.1,3.3,0.549,0.28,"R","LeMahieu, DJ",4.67,0.286,"Current Rules"
7,324,-77,-75,315,518934,90.1,3.3,0.549,0.28,"R","LeMahieu, DJ",4.67,0.286,"Current Rules"
8,324,81,50,320,518934,90.1,3.3,0.549,0.28,"R","LeMahieu, DJ",4.67,0.286,"Current Rules"
9,268,57,145,225,518934,90.1,3.3,0.549,0.28,"R","LeMahieu, DJ",4.67,0.286,"Current Rules"
3,128,51,80,100,519058,87.5,17.9,0.731,0.549,"L","Moustakas, Mike",4.78,0.249,"Current Rules"
4,179,63,80,160,519058,87.5,17.9,0.731,0.549,"L","Moustakas, Mike",4.78,0.249,"Current Rules"
5,139,-69,-50,130,519058,87.5,17.9,0.731,0.549,"L","Moustakas, Mike",4.78,0.249,"Current Rules"
6,171,83,20,170,519058,87.5,17.9,0.731,0.549,"L","Moustakas, Mike",4.78,0.249,"Current Rules"
7,297,-73,-85,285,519058,87.5,17.9,0.731,0.549,"L","Moustakas, Mike",4.78,0.249,"Current Rules"
8,321,85,30,320,519058,87.5,17.9,0.731,0.549,"L","Moustakas, Mike",4.78,0.249,"Current Rules"
9,276,58,145,235,519058,87.5,17.9,0.731,0.549,"L","Moustakas, Mike",4.78,0.249,"Current Rules"
3,127,45,90,90,519203,89.4,16.1,0.816,0.552,"L","Rizzo, Anthony",4.63,0.245,"Current Rules"
4,172,54,100,140,519203,89.4,16.1,0.816,0.552,"L","Rizzo, Anthony",4.63,0.245,"Current Rules"
5,141,-82,-20,140,519203,89.4,16.1,0.816,0.552,"L","Rizzo, Anthony",4.63,0.245,"Current Rules"
6,175,77,40,170,519203,89.4,16.1,0.816,0.552,"L","Rizzo, Anthony",4.63,0.245,"Current Rules"
7,300,-72,-95,285,519203,89.4,16.1,0.816,0.552,"L","Rizzo, Anthony",4.63,0.245,"Current Rules"
8,331,85,30,330,519203,89.4,16.1,0.816,0.552,"L","Rizzo, Anthony",4.63,0.245,"Current Rules"
9,271,60,135,235,519203,89.4,16.1,0.816,0.552,"L","Rizzo, Anthony",4.63,0.245,"Current Rules"
3,128,51,80,100,519317,95.1,9.8,0.72,0.449,"R","Stanton, Giancarlo",5.07,0.294,"Current Rules"
4,182,81,30,180,519317,95.1,9.8,0.72,0.449,"R","Stanton, Giancarlo",5.07,0.294,"Current Rules"
5,150,-53,-90,120,519317,95.1,9.8,0.72,0.449,"R","Stanton, Giancarlo",5.07,0.294,"Current Rules"
6,175,-77,-40,170,519317,95.1,9.8,0.72,0.449,"R","Stanton, Giancarlo",5.07,0.294,"Current Rules"
7,275,-63,-125,245,519317,95.1,9.8,0.72,0.449,"R","Stanton, Giancarlo",5.07,0.294,"Current Rules"
8,320,90,0,320,519317,95.1,9.8,0.72,0.449,"R","Stanton, Giancarlo",5.07,0.294,"Current Rules"
9,271,65,115,245,519317,95.1,9.8,0.72,0.449,"R","Stanton, Giancarlo",5.07,0.294,"Current Rules"
3,117,59,60,100,521692,92.4,15.7,0.842,0.509,"R","Perez, Salvador",4.87,0.267,"Current Rules"
